#,Name,Team,Level,Age,PA,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,Pull%,Cent%,Oppo%,SwStr%,Balls,Strikes,Pitches
165,Torii Hunter Jr.,LAA,A,23-23,433,0.343,1.95,15.90%,55.60%,28.50%,15.60%,2.60%,40.90%,21.10%,38.00%,13.00%,628,1066,1694
166,Miles Mastrobuoni,TBR,A,21-21,439,0.307,1.33,21.60%,44.80%,33.70%,10.40%,2.80%,38.50%,27.30%,34.20%,5.30%,664,1028,1692
167,Jay Schuyler,CIN,A,22-22,440,0.308,0.85,18.50%,37.40%,44.10%,28.30%,3.60%,43.90%,25.70%,30.40%,8.30%,608,1078,1686
168,J.B. Woodman,TOR,A,22-22,414,0.394,1.23,26.00%,40.90%,33.20%,4.30%,10.10%,40.40%,30.00%,29.60%,17.90%,652,1034,1686
169,Edward Olivares,TOR,A,21-21,464,0.306,1.12,16.40%,44.20%,39.40%,31.10%,12.90%,44.40%,28.70%,26.90%,11.00%,590,1094,1684
170,Chuckie Robinson,HOU,A,22-22,468,0.324,0.86,19.90%,37.10%,43.00%,26.10%,10.90%,51.80%,21.00%,27.20%,14.80%,605,1079,1684
171,Leandro Santana,CIN,A,21-21,442,0.287,0.8,18.50%,36.20%,45.40%,22.00%,7.30%,45.60%,25.60%,28.80%,14.80%,624,1052,1676
172,Ryan Aguilar,MIL,A,22-22,409,0.276,1.34,18.40%,46.80%,34.80%,23.00%,2.30%,38.70%,25.30%,36.00%,8.20%,646,1028,1674
173,Jared Akins,MIN,A,21-22,431,0.284,1.21,8.90%,49.80%,41.30%,21.60%,10.80%,44.10%,26.80%,29.10%,19.70%,569,1105,1674
174,Julio Garcia,LAA,A,20-20,486,0.315,1.2,17.10%,45.20%,37.70%,25.60%,4.10%,49.70%,23.80%,26.50%,21.00%,506,1164,1670
175,Mitchell Hansen,LAD,A,21-22,416,0.268,1.12,14.10%,45.40%,40.50%,21.70%,6.60%,45.40%,25.70%,29.00%,12.40%,619,1047,1666
176,Ben Rortvedt,MIN,A,19-20,493,0.293,1.56,12.20%,53.50%,34.30%,13.20%,4.10%,41.00%,23.00%,36.00%,12.60%,577,1086,1663
177,Tucupita Marcano,SDP,A,19-19,504,0.293,1.87,13.20%,56.60%,30.20%,26.60%,1.60%,45.50%,22.10%,32.40%,4.50%,601,1058,1659
178,Mario Feliciano,MIL,A,18-18,446,0.297,1.5,20.90%,47.50%,31.60%,27.20%,3.90%,35.80%,25.10%,39.10%,10.20%,606,1042,1648
179,Juan Fernandez,SDP,A,19-20,459,0.295,0.95,18.90%,39.40%,41.60%,26.10%,3.00%,49.70%,22.20%,28.10%,9.60%,606,1039,1645
180,Jorma Rodriguez,CLE,A,21-22,475,0.318,1.99,19.50%,53.60%,26.90%,14.90%,4.60%,41.60%,24.90%,33.50%,12.00%,580,1062,1642
181,Osmy Gregorio,TBR,A,21-21,454,0.255,2.06,12.60%,58.80%,28.60%,19.00%,8.30%,41.60%,20.80%,37.60%,13.50%,584,1057,1641
182,Devin Foyle,OAK,A,22-22,393,0.313,0.71,19.20%,33.60%,47.20%,14.80%,5.60%,43.60%,30.30%,26.10%,8.20%,650,989,1639
183,Jesus Lopez,OAK,A,20-22,479,0.289,1.16,19.20%,43.30%,37.50%,20.00%,8.90%,45.70%,25.80%,28.50%,9.50%,556,1082,1638
184,Luis Ayala,CHC,A,21-21,447,0.351,1.44,16.60%,49.20%,34.20%,14.60%,2.90%,43.30%,26.90%,29.80%,12.00%,601,1036,1637
185,Nolan Jones,CLE,A,20-20,389,0.347,1.63,22.30%,48.20%,29.50%,7.70%,24.60%,34.90%,26.20%,38.90%,10.00%,694,940,1634
186,Brennan Morgan,LAA,A,23-23,439,0.281,1.21,19.40%,44.10%,36.50%,31.50%,3.60%,45.20%,21.00%,33.90%,7.80%,626,1006,1632
187,Ryan Costello,SEA,A,22-22,406,0.299,0.76,16.90%,35.80%,47.30%,28.50%,13.00%,45.20%,21.90%,33.00%,11.40%,668,958,1626
188,Jake Brodt,TOR,A,23-23,400,0.341,1.14,22.90%,41.00%,36.10%,16.20%,17.60%,46.80%,25.20%,28.00%,15.90%,604,1015,1619
189,Je'Von Ward,MIL,A,19-19,423,0.309,1.56,14.20%,52.30%,33.50%,19.50%,2.30%,38.80%,26.50%,34.70%,14.40%,593,1021,1614
190,Miguelangel Sierra,HOU,A,20-20,419,0.332,0.77,21.10%,34.30%,44.60%,25.90%,10.20%,56.20%,23.50%,20.30%,18.20%,564,1046,1610
191,Lester Madden,OAK,A,20-20,420,0.298,1.3,20.90%,44.80%,34.30%,26.10%,2.20%,46.00%,20.30%,33.70%,15.70%,540,1063,1603
192,Miguel Hernandez,CIN,A,20-20,484,0.297,1.38,13.80%,50.00%,36.20%,19.00%,4.00%,45.20%,24.10%,30.70%,14.80%,511,1091,1602
193,Brandon Hughes,CHC,A,22-22,422,0.32,0.95,15.20%,41.30%,43.60%,20.90%,3.50%,42.30%,21.70%,36.00%,12.90%,557,1042,1599
194,Will Banfield,MIA,A,19-19,433,0.256,0.83,13.90%,39.10%,47.10%,20.20%,7.00%,46.60%,26.70%,26.70%,17.20%,536,1060,1596
195,Alberto Mineo,CHC,A,22-22,405,0.342,0.99,18.80%,40.40%,40.80%,22.10%,0.00%,41.80%,21.40%,36.80%,10.70%,615,980,1595
196,Ronnie Gideon,MIL,A,22-22,438,0.302,1.55,15.60%,51.40%,33.10%,12.90%,16.50%,50.80%,23.90%,25.40%,18.80%,550,1043,1593
197,Nick Zammarelli III,SEA,A,22-22,446,0.373,0.93,19.40%,38.90%,41.70%,16.70%,5.00%,40.60%,24.90%,34.50%,13.10%,579,1012,1591
198,Joshua Palacios,TOR,A,21-21,419,0.347,2.63,19.40%,58.30%,22.20%,12.50%,3.10%,37.80%,24.50%,37.80%,12.20%,607,981,1588
199,Jack Larsen,SEA,A,23-23,365,0.369,1.12,14.90%,44.80%,40.20%,19.20%,15.40%,45.50%,22.00%,32.50%,12.50%,653,934,1587
200,José Fermín,CLE,A,20-20,456,0.311,1.44,17.60%,48.70%,33.70%,23.50%,5.20%,44.60%,24.80%,30.60%,3.80%,606,981,1587
201,Blaze Alexander,ARI,A,20-20,406,0.324,0.97,17.90%,40.50%,41.60%,22.40%,6.50%,49.20%,25.40%,25.40%,14.90%,604,974,1578
202,Mickey McDonald,OAK,A,23-23,442,0.348,2.21,21.80%,53.90%,24.40%,21.30%,2.70%,37.60%,21.00%,41.40%,7.50%,581,996,1577
203,Eric Mariñez,OAK,A,21-21,456,0.344,1.61,21.10%,48.70%,30.20%,27.10%,3.10%,50.60%,18.60%,30.80%,13.10%,554,1023,1577
204,Ramon Hernandez,ARI,A,21-21,480,0.338,0.86,17.70%,38.00%,44.20%,23.60%,8.30%,44.80%,24.30%,30.90%,13.30%,500,1076,1576
205,Eugene Helder,SEA,A,22-22,418,0.269,1.22,21.60%,43.10%,35.30%,17.60%,6.50%,42.70%,21.20%,36.10%,9.00%,569,1005,1574
206,Jim Haley,TBR,A,22-23,437,0.367,1.16,22.70%,41.50%,35.80%,22.90%,6.80%,47.70%,27.80%,24.60%,9.00%,547,1026,1573
207,Buddy Kennedy,ARI,A,20-20,438,0.312,0.88,19.90%,37.50%,42.60%,29.40%,5.60%,43.20%,22.70%,34.10%,9.40%,610,957,1567
208,Randy Ventura,CIN,A,19-21,402,0.309,2.04,15.70%,56.60%,27.80%,32.10%,1.30%,28.90%,22.60%,48.40%,9.30%,528,1038,1566
209,Ronaldo Hernández,TBR,A,20-20,449,0.292,0.88,20.50%,37.20%,42.30%,32.90%,15.00%,55.70%,23.30%,21.00%,11.50%,549,1017,1566
210,Mariel Bautista,CIN,A,21-21,433,0.278,1.48,15.20%,50.70%,34.10%,35.40%,8.10%,50.20%,19.70%,30.20%,16.20%,545,1020,1565
211,Nolan Gorman,STL,A,18-19,389,0.298,0.57,14.50%,30.90%,54.50%,13.30%,13.30%,41.60%,29.00%,29.40%,15.60%,592,969,1561
212,Sam McDonnell,LAA,A,21-21,419,0.301,0.95,16.90%,40.50%,42.60%,20.70%,5.00%,42.40%,18.40%,39.20%,9.30%,581,972,1553
213,Eduardo Diaz,ARI,A,20-21,452,0.326,0.95,19.20%,39.40%,41.40%,28.00%,7.20%,50.00%,22.90%,27.10%,14.50%,507,1041,1548
214,Brady Policelli,DET,A,23-23,400,0.298,0.97,20.40%,39.30%,40.40%,28.80%,6.30%,46.10%,24.30%,29.60%,10.20%,558,989,1547
215,Geraldo Perdomo,ARI,A,19-19,385,0.318,1.38,16.40%,48.40%,35.20%,32.20%,2.20%,43.50%,23.70%,32.80%,8.10%,616,924,1540
216,Ryan McCarvel,STL,A,22-22,390,0.289,0.84,13.90%,39.40%,46.80%,18.50%,14.80%,38.50%,29.10%,32.50%,19.00%,575,964,1539
217,Max Schuemann,OAK,A,22-22,389,0.318,1.05,16.50%,42.70%,40.80%,19.80%,2.80%,44.60%,23.80%,31.60%,10.50%,553,984,1537
218,Royce Lewis,MIN,A,18-19,407,0.351,0.91,12.40%,41.60%,46.00%,13.90%,7.30%,44.10%,25.50%,30.40%,10.00%,563,973,1536
219,Dylan Rosa,DET,A,22-22,421,0.318,0.88,18.30%,38.30%,43.30%,15.40%,10.60%,44.10%,28.30%,27.50%,17.40%,547,989,1536
220,Carl Chester,TBR,A,22-22,439,0.323,0.99,23.30%,38.20%,38.50%,26.60%,4.00%,41.30%,26.50%,32.30%,9.10%,508,1028,1536
221,Zack Shannon,ARI,A,23-23,381,0.313,0.88,18.00%,38.50%,43.50%,16.30%,11.50%,42.60%,22.10%,35.20%,14.20%,578,953,1531
222,Hector Vargas,CIN,A,22-23,493,0.245,1.07,13.70%,44.70%,41.60%,26.10%,4.30%,41.70%,27.80%,30.50%,12.30%,475,1050,1525
223,Leandro Cedeño,STL,A,20-20,396,0.351,1.16,21.10%,42.50%,36.50%,11.30%,6.20%,41.10%,24.40%,34.40%,16.10%,492,1032,1524
224,Miguel Vargas,LAD,A,18-19,412,0.347,1.19,19.70%,43.50%,36.70%,10.20%,4.60%,32.70%,31.40%,36.00%,9.10%,562,960,1522
225,Joey Rose,ARI,A,20-21,382,0.269,0.59,16.60%,30.90%,52.50%,28.10%,4.40%,45.00%,24.80%,30.20%,16.10%,582,938,1520
226,Ulrich Bojarski,DET,A,19-20,457,0.32,0.9,19.30%,38.30%,42.40%,20.60%,8.10%,46.00%,22.60%,31.40%,18.40%,456,1062,1518
227,Dan Robinson,LAD,A,22-22,374,0.298,1.15,17.40%,44.10%,38.50%,13.70%,2.10%,37.40%,29.50%,33.10%,7.40%,625,892,1517
228,Payton Henry,MIL,A,21-21,389,0.335,1.68,18.30%,51.20%,30.50%,15.40%,15.40%,38.50%,24.80%,36.70%,15.90%,571,944,1515
229,Christian Williams,TOR,A,22-23,407,0.368,2,26.50%,49.00%,24.50%,11.50%,11.50%,39.40%,25.20%,35.40%,13.50%,576,939,1515
230,Connor McVey,MIL,A,24-24,397,0.303,0.87,14.20%,39.90%,45.90%,25.00%,5.00%,42.70%,22.80%,34.50%,12.70%,642,872,1514
231,Kevin Vicuña,TOR,A,19-20,449,0.325,2.14,22.60%,52.80%,24.60%,15.50%,2.40%,40.60%,25.40%,34.10%,11.40%,479,1035,1514
232,Luke Wakamatsu,CLE,A,20-20,419,0.289,1,15.80%,42.10%,42.10%,29.90%,10.30%,45.90%,25.40%,28.60%,14.00%,517,997,1514
233,Connor Scott,MIA,A,19-19,413,0.322,1.39,16.40%,48.60%,35.00%,14.30%,4.10%,42.90%,23.20%,33.90%,11.80%,530,983,1513
234,Brendon Davis,LAD,A,19-19,367,0.345,1.22,18.80%,44.60%,36.60%,21.60%,10.80%,50.20%,24.90%,24.90%,12.00%,588,921,1509
235,Michael Papierski,HOU,A,22-22,369,0.224,0.66,17.50%,32.70%,49.80%,28.80%,4.50%,50.90%,24.10%,25.00%,8.70%,634,875,1509
236,Yariel Gonzalez,STL,A,24-24,434,0.336,1,20.90%,39.50%,39.50%,17.90%,8.20%,42.20%,23.30%,34.60%,10.00%,531,977,1508
237,Brice Turang,MIL,A,19-19,357,0.339,1.04,19.00%,41.30%,39.70%,18.40%,2.00%,25.30%,28.90%,45.80%,6.00%,627,880,1507
238,Nelson Velázquez,CHC,A,19-20,405,0.367,1.44,17.00%,49.00%,34.00%,15.50%,4.80%,51.80%,21.40%,26.80%,16.30%,529,976,1505
239,Oscar Gonzalez,CLE,A,20-20,480,0.353,1.5,18.40%,49.00%,32.60%,25.20%,11.30%,46.50%,22.30%,31.20%,18.20%,371,1123,1494
240,Jalen Washington,SDP,A,23-23,377,0.286,0.76,15.10%,36.60%,48.30%,27.80%,7.00%,50.00%,24.60%,25.40%,9.80%,572,921,1493
241,Vidal Bruján,TBR,A,20-20,434,0.351,1.85,22.50%,50.30%,27.20%,16.10%,5.70%,47.10%,21.90%,31.00%,6.40%,602,888,1490
242,Alek Thomas,ARI,A,19-19,402,0.372,2.11,17.60%,55.90%,26.50%,12.20%,10.80%,35.50%,23.40%,41.10%,12.30%,579,909,1488
243,Norberto Obeso,TOR,A,22-22,401,0.259,1.87,22.20%,50.70%,27.10%,12.80%,3.80%,36.00%,23.60%,40.40%,5.90%,594,889,1483
244,Zachery Almond,ARI,A,23-23,368,0.281,0.74,18.10%,34.80%,47.10%,21.50%,4.70%,39.30%,27.50%,33.20%,13.90%,557,921,1478
245,Dillon Paulson,LAD,A,22-22,361,0.27,0.83,11.40%,40.30%,48.30%,15.70%,11.80%,49.80%,20.70%,29.50%,10.70%,609,867,1476
246,Moises Perez,LAD,A,19-20,420,0.288,1.35,17.30%,47.50%,35.30%,12.50%,1.00%,43.90%,26.00%,30.10%,12.20%,489,987,1476
247,Alvaro Rubalcaba,LAA,A,23-24,353,0.235,0.65,15.00%,33.50%,51.50%,22.30%,3.90%,48.80%,23.90%,27.30%,9.60%,628,846,1474
248,Jared Walker,LAD,A,21-22,386,0.316,0.43,19.60%,24.10%,56.30%,22.20%,14.30%,47.40%,25.40%,27.20%,14.90%,554,919,1473
249,Caleb Hamilton,MIN,A,22-22,367,0.291,0.6,9.10%,34.00%,56.90%,25.20%,7.60%,48.60%,26.60%,24.80%,13.70%,604,868,1472
250,Brian O'Keefe,STL,A,23-23,411,0.301,1.15,15.40%,45.20%,39.40%,20.00%,13.60%,43.10%,29.20%,27.80%,10.60%,560,908,1468
251,Jonathan Araúz,HOU,A,18-19,386,0.313,0.86,21.80%,36.20%,42.10%,32.50%,3.50%,46.40%,24.60%,29.00%,8.50%,587,875,1462
252,Blake Hunt,SDP,A,20-20,376,0.303,0.79,18.60%,36.00%,45.50%,19.20%,4.20%,44.80%,25.90%,29.30%,9.40%,580,880,1460
253,Marcos Almonte,HOU,A,21-22,429,0.31,1.73,14.40%,54.20%,31.30%,20.20%,10.10%,46.00%,26.50%,27.50%,20.10%,452,1007,1459
254,Brayan Morales,LAD,A,21-22,401,0.378,0.99,22.20%,38.70%,39.10%,20.00%,3.20%,45.00%,24.90%,30.10%,12.70%,484,969,1453
255,Jose Martinez,STL,A,20-21,353,0.289,1.27,18.90%,45.40%,35.70%,12.40%,1.10%,49.60%,21.10%,29.30%,7.80%,549,901,1450
256,Colton Shaver,HOU,A,22-22,378,0.246,0.61,18.60%,30.80%,50.60%,20.00%,12.00%,47.40%,27.30%,25.30%,9.80%,564,883,1447
257,Chris Singleton,CHC,A,21-21,406,0.291,0.65,13.40%,34.10%,52.50%,34.30%,2.90%,52.00%,23.70%,24.40%,13.00%,497,949,1446
258,Jose Miranda,MIN,A,20-20,439,0.286,1.12,9.40%,47.80%,42.80%,19.20%,8.90%,52.50%,20.80%,26.70%,11.10%,501,937,1438
259,Elehuris Montero,STL,A,19-19,425,0.372,0.93,24.80%,36.20%,38.90%,20.70%,12.90%,38.70%,23.90%,37.40%,14.80%,498,937,1435
260,Nick Ward,OAK,A,23-23,343,0.32,1.06,18.30%,42.10%,39.60%,21.80%,5.10%,46.40%,24.60%,29.00%,10.30%,589,844,1433
261,Austin Upshaw,CHC,A,20-21,385,0.268,0.72,16.60%,34.90%,48.40%,20.70%,4.30%,40.50%,26.20%,33.30%,9.60%,508,924,1432
262,Roberto Alvarez,TBR,A,19-19,406,0.295,1.71,11.00%,56.10%,32.90%,14.10%,3.00%,38.70%,24.00%,37.40%,13.50%,431,999,1430
263,Tim Susnara,ARI,A,22-23,370,0.298,0.81,15.20%,38.10%,46.80%,21.30%,3.70%,49.40%,22.70%,27.90%,11.40%,570,859,1429
264,Bruce Yari,CIN,A,22-22,374,0.317,1.09,17.90%,42.80%,39.30%,8.90%,14.40%,35.50%,30.30%,34.20%,13.70%,572,852,1424
265,Justin Jones,LAA,A,23-23,364,0.302,1.06,16.80%,42.90%,40.30%,20.80%,10.40%,55.10%,20.60%,24.30%,9.80%,574,848,1422
266,Hendrik Clementina,CIN,A,21-21,376,0.322,0.84,15.80%,38.30%,45.80%,20.00%,16.40%,39.60%,31.80%,28.60%,18.00%,533,889,1422
267,John Schuknecht,LAA,A,22-22,389,0.224,0.5,12.10%,29.50%,58.50%,25.20%,7.60%,45.90%,25.80%,28.40%,18.20%,483,938,1421
268,Jose Medina,CLE,A,22-23,383,0.304,0.9,18.40%,38.70%,43.00%,35.50%,11.80%,46.90%,18.80%,34.20%,11.60%,510,908,1418
269,Logan Ice,CLE,A,22-22,367,0.258,0.45,21.60%,24.50%,53.90%,20.50%,8.30%,49.80%,26.90%,23.30%,11.10%,548,870,1418
270,Kevin Williams Jr.,LAA,A,22-22,381,0.348,1.07,18.60%,42.00%,39.40%,26.40%,4.40%,39.60%,23.30%,37.10%,15.70%,508,909,1417
271,Collin Theroux,OAK,A,23-23,311,0.231,0.59,16.70%,31.00%,52.40%,27.30%,19.70%,51.90%,21.40%,26.70%,18.40%,562,855,1417
272,Jonathan Sierra,CHC,A,20-20,408,0.279,1.38,18.60%,47.20%,34.30%,17.40%,2.80%,39.00%,20.10%,40.90%,11.40%,493,923,1416
273,Jahmai Jones,LAA,A,19-19,387,0.309,1.42,11.80%,51.80%,36.40%,14.10%,9.10%,50.70%,23.60%,25.70%,10.50%,548,866,1414
274,Griffin Conine,TOR,A,21-21,348,0.405,1.04,21.70%,40.00%,38.30%,11.90%,32.80%,39.40%,30.00%,30.60%,20.60%,540,871,1411
275,John Jones,OAK,A,23-23,357,0.311,1.18,17.10%,44.80%,38.10%,32.50%,7.50%,46.50%,21.90%,31.60%,11.10%,574,837,1411
276,Nash Knight,TOR,A,24-24,376,0.316,2.39,23.70%,53.80%,22.50%,14.00%,5.30%,45.60%,18.50%,35.90%,7.40%,579,831,1410
277,Lazaro Armenteros,OAK,A,19-19,340,0.427,1.78,27.70%,46.20%,26.00%,8.90%,17.80%,51.70%,23.30%,25.00%,13.90%,552,857,1409
278,Zach Scott,MIA,A,23-24,364,0.293,1.36,16.10%,48.40%,35.50%,18.20%,2.60%,36.90%,30.20%,32.90%,14.60%,519,889,1408
279,Oneil Cruz,LAD,A,18-18,375,0.323,2.06,15.90%,56.60%,27.40%,14.50%,12.90%,34.90%,23.90%,41.20%,13.50%,471,929,1400
280,Brandon Grudzielanek,TOR,A,23-23,366,0.311,1.27,20.10%,44.80%,35.10%,11.90%,6.00%,38.90%,29.50%,31.60%,12.30%,515,881,1396
281,Lee Solomon,SDP,A,22-22,362,0.292,0.96,20.90%,38.60%,40.50%,27.00%,3.40%,48.70%,23.30%,28.00%,11.10%,521,874,1395
282,Bubba Hollins,MIA,A,23-23,386,0.322,1.16,15.50%,45.40%,39.10%,31.50%,1.80%,41.20%,22.50%,36.30%,12.30%,457,938,1395
283,Scott Schreiber,HOU,A,22-23,360,0.342,1.28,18.00%,46.00%,36.00%,23.60%,12.50%,46.20%,23.10%,30.80%,17.40%,491,900,1391
284,Saige Jenco,LAD,A,22-22,347,0.312,1.06,20.30%,41.00%,38.70%,13.40%,4.90%,30.00%,36.80%,33.20%,7.50%,567,819,1386
285,Brandon Montgomery,LAD,A,21-22,400,0.313,0.77,20.20%,34.70%,45.10%,26.40%,7.20%,44.80%,28.70%,26.60%,13.40%,453,931,1384
286,Jhonny Pereda,CHC,A,21-21,359,0.307,1.79,15.20%,54.40%,30.40%,21.10%,0.00%,34.70%,23.20%,42.10%,6.50%,552,825,1377
287,Ernie De La Trinidad,ARI,A,22-22,379,0.336,1.03,25.00%,38.10%,36.90%,16.20%,8.10%,46.50%,23.40%,30.00%,6.70%,564,801,1365
288,Clayton Daniel,CHC,A,23-24,331,0.31,1.43,19.90%,47.20%,32.90%,19.80%,2.50%,42.50%,24.60%,32.90%,4.80%,541,819,1360
289,D.J. Wilson,CHC,A,20-20,348,0.292,0.8,15.90%,37.40%,46.70%,27.00%,9.00%,47.30%,28.60%,24.10%,12.70%,526,834,1360
290,Robbie Tenerowicz,TBR,A,22-22,390,0.338,0.94,13.60%,41.90%,44.40%,24.20%,8.90%,45.20%,30.70%,24.00%,11.30%,490,868,1358
291,Jack Meggs,OAK,A,23-23,379,0.308,1.6,13.80%,53.10%,33.10%,19.80%,6.60%,39.80%,25.10%,35.10%,10.80%,463,890,1353
292,Edwin Díaz,OAK,A,21-21,351,0.33,0.82,18.20%,36.80%,45.00%,11.70%,10.60%,39.80%,28.70%,31.50%,11.10%,541,807,1348
293,Wander Javier,MIN,A,20-20,342,0.243,0.89,9.70%,42.60%,47.70%,22.60%,13.10%,47.60%,25.90%,26.50%,17.00%,487,852,1339
294,Michael Cruz,CHC,A,21-22,394,0.236,0.94,12.50%,42.40%,45.10%,23.10%,9.00%,51.10%,22.30%,26.60%,10.30%,494,842,1336
295,Franklin Torres,LAA,A,21-21,337,0.345,1.42,17.70%,48.20%,34.10%,9.10%,5.20%,32.30%,25.00%,42.70%,9.90%,499,830,1329
296,Tyler Stephenson,CIN,A,20-20,348,0.322,1.49,19.00%,48.50%,32.50%,9.10%,7.80%,48.00%,25.00%,27.00%,10.20%,522,806,1328
297,Devin Davis,TBR,A,21-21,385,0.332,1.12,20.60%,41.90%,37.50%,23.10%,5.80%,40.90%,24.90%,34.20%,13.10%,450,874,1324
298,G.K. Young,SDP,A,22-22,355,0.319,0.89,21.50%,37.00%,41.60%,15.40%,12.10%,50.20%,21.30%,28.50%,16.50%,491,833,1324
299,Hunter Feduccia,LAD,A,21-22,342,0.368,1.06,20.10%,41.10%,38.80%,15.70%,4.80%,41.70%,25.20%,33.00%,8.90%,576,746,1322
300,Devin Hairston,MIL,A,21-22,326,0.299,1.38,20.80%,45.80%,33.30%,15.60%,3.10%,42.10%,21.80%,36.00%,9.30%,550,771,1321
301,Christian Cavaness,MIN,A,23-23,330,0.352,1.26,9.20%,50.50%,40.20%,10.80%,8.10%,35.30%,26.80%,37.90%,15.10%,499,821,1320
302,Rodrigo Orozco,TOR,A,22-22,330,0.338,1.77,22.70%,49.30%,27.90%,15.60%,1.60%,37.10%,24.50%,38.40%,5.80%,500,819,1319
303,Tirso Ornelas,SDP,A,18-18,355,0.297,1.17,19.20%,43.50%,37.20%,44.90%,9.00%,38.80%,24.10%,37.10%,7.80%,517,800,1317
304,J.D. Osborne,MIA,A,23-23,344,0.315,1.04,18.90%,41.40%,39.60%,30.00%,11.10%,46.60%,23.90%,29.50%,14.60%,439,877,1316
305,Jordan Zimmerman,LAA,A,22-22,359,0.339,1.17,15.10%,45.70%,39.20%,20.80%,5.20%,43.90%,24.10%,32.00%,12.80%,451,861,1312
306,Marcos Rivera,MIA,A,22-22,341,0.322,1.46,20.80%,47.00%,32.20%,16.90%,13.60%,51.80%,24.60%,23.60%,19.20%,427,884,1311
307,Tucker Neuhaus,MIL,A,22-22,355,0.306,0.95,12.70%,42.50%,44.80%,20.20%,13.10%,48.30%,21.30%,30.40%,14.60%,435,874,1309
308,Starling Heredia,LAD,A,18-19,330,0.29,0.93,18.80%,39.20%,42.00%,40.80%,9.20%,44.80%,23.00%,32.20%,18.50%,466,843,1309
309,Chris Pieters,CHC,A,22-22,351,0.319,1.17,14.20%,46.40%,39.50%,29.30%,4.30%,42.00%,22.70%,35.30%,9.30%,515,792,1307
310,Gabriel Moreno,TOR,A,19-19,341,0.282,0.83,19.90%,36.30%,43.80%,18.80%,10.30%,47.30%,26.90%,25.80%,6.40%,469,834,1303
311,Andy Sugilio,CIN,A,21-21,387,0.318,1.86,14.00%,55.90%,30.10%,16.70%,5.60%,44.30%,23.60%,32.00%,13.30%,426,877,1303
312,Cobie Fletcher-Vance,OAK,A,21-21,345,0.279,0.97,14.50%,42.10%,43.40%,20.60%,1.00%,42.70%,27.00%,30.30%,7.70%,523,775,1298
313,Brad Zunica,SDP,A,21-21,330,0.319,0.65,10.90%,35.10%,54.00%,16.00%,19.10%,48.90%,24.20%,27.00%,18.30%,527,769,1296
314,Joey Morgan,DET,A,21-21,336,0.278,1.26,18.90%,45.30%,35.80%,25.00%,5.30%,48.60%,23.00%,28.40%,11.80%,501,785,1286
315,Michael Reed,SDP,A,22-22,347,0.315,0.62,14.70%,32.70%,52.50%,21.90%,5.30%,48.00%,26.90%,25.10%,17.20%,440,842,1282
316,Matt Fiedler,STL,A,22-23,345,0.308,1.14,15.90%,44.80%,39.30%,19.10%,6.40%,42.00%,25.10%,32.90%,10.70%,479,799,1278
317,Marcus Greene Jr.,SDP,A,22-22,333,0.303,1.02,14.50%,43.20%,42.30%,28.10%,11.50%,54.60%,20.50%,24.90%,9.90%,517,760,1277
318,Korry Howell,MIL,A,20-20,335,0.34,1.62,17.90%,50.80%,31.30%,13.10%,3.30%,41.20%,26.60%,32.20%,15.30%,469,807,1276
319,Rafael Lantigua,TOR,A,21-21,364,0.292,1.11,18.40%,43.00%,38.60%,29.00%,3.70%,44.30%,25.50%,30.10%,12.10%,444,830,1274
320,Zach Davis,CHC,A,23-24,331,0.362,1.73,21.20%,50.00%,28.80%,20.00%,0.00%,37.50%,26.30%,36.20%,11.20%,467,807,1274
321,Brent Diaz,MIL,A,22-23,332,0.287,0.74,16.30%,35.70%,48.00%,10.60%,7.40%,38.90%,24.10%,36.90%,13.10%,506,765,1271
322,Alex McKenna,HOU,A,20-21,317,0.366,1.31,18.40%,46.30%,35.30%,13.40%,4.50%,29.40%,26.30%,44.30%,11.70%,477,794,1271
323,Zack Short,CHC,A,22-22,300,0.278,0.52,12.30%,30.20%,57.50%,28.20%,6.80%,43.20%,29.70%,27.00%,6.70%,576,693,1269
324,Jonathan Laureano,CLE,A,22-22,357,0.305,1.47,19.90%,47.60%,32.50%,24.00%,12.00%,48.60%,26.10%,25.30%,13.60%,444,821,1265
325,Ulysses Cantu,CLE,A,20-21,323,0.204,1.16,14.10%,46.10%,39.80%,18.40%,10.50%,55.60%,20.90%,23.50%,15.40%,455,805,1260
326,Mike Brosseau,TBR,A,23-23,344,0.361,1.31,16.10%,47.60%,36.30%,23.30%,6.70%,49.00%,26.80%,24.10%,9.00%,452,807,1259
327,Lucius Fox,TBR,A,19-19,345,0.371,2.27,22.70%,53.60%,23.60%,17.30%,3.80%,44.90%,24.00%,31.10%,10.40%,476,779,1255
328,Gersel Pitre,LAD,A,20-22,357,0.338,2.17,22.30%,53.20%,24.50%,10.80%,0.00%,38.30%,26.40%,35.40%,12.40%,389,866,1255
329,Michael Curry,SDP,A,21-21,330,0.351,0.75,19.80%,34.40%,45.80%,17.50%,8.20%,47.70%,25.50%,26.90%,10.30%,497,756,1253
330,Jancarlos Cintron,ARI,A,23-23,377,0.321,0.87,18.20%,38.00%,43.80%,23.80%,5.40%,48.20%,25.40%,26.40%,9.60%,408,842,1250
331,Miguel Jerez,CLE,A,21-21,306,0.228,0.78,14.70%,37.40%,47.90%,35.90%,12.80%,58.30%,22.60%,19.00%,14.50%,507,737,1244
